lat,lon,cloud_amount
-76.5,302.14285,73.2
-76.5,306.42856,83.10000000000001
-76.5,310.7143,87.10000000000001
-76.5,315.0,79.4
-76.5,319.2857,77.2
-76.5,323.5714,80.9
-76.5,327.85715,75.5
-76.5,332.14285,50.900000000000006
-76.5,336.42856,35.7
-76.5,340.7143,47.400000000000006
-76.5,345.0,37.7
-76.5,349.2857,27.0
-76.5,353.5714,21.8
-76.5,357.85715,17.6
-75.5,2.0,14.4
-75.5,6.0,12.0
-75.5,10.0,7.800000000000001
-75.5,14.0,6.9
-75.5,18.0,5.2
-75.5,22.0,5.7
-75.5,26.0,5.6000000000000005
-75.5,30.0,5.300000000000001
-75.5,34.0,4.9
-75.5,38.0,5.5
-75.5,42.0,4.6000000000000005
-75.5,46.0,4.5
-75.5,50.0,5.4
-75.5,54.0,12.600000000000001
-75.5,58.0,17.5
-75.5,62.0,22.3
-75.5,66.0,27.400000000000002
-75.5,70.0,26.3
-75.5,74.0,21.6
-75.5,78.0,15.5
-75.5,82.0,10.200000000000001
-75.5,86.0,6.6000000000000005
-75.5,90.0,5.5
-75.5,94.0,4.800000000000001
-75.5,98.0,4.9
-75.5,102.0,6.800000000000001
-75.5,106.0,9.0
-75.5,110.0,8.8
-75.5,114.0,10.9
-75.5,118.0,9.1
-75.5,122.0,7.2
-75.5,126.0,5.4
-75.5,130.0,7.4
-75.5,134.0,8.1
-75.5,138.0,10.0
-75.5,142.0,12.5
-75.5,146.0,14.0
-75.5,150.0,13.100000000000001
-75.5,154.0,16.900000000000002
-75.5,158.0,44.5
-75.5,162.0,81.10000000000001
-75.5,166.0,76.9
-75.5,170.0,77.60000000000001
-75.5,174.0,76.2
-75.5,178.0,80.4
-75.5,182.0,82.9
-75.5,186.0,84.5
-75.5,190.0,85.5
-75.5,194.0,86.9
-75.5,198.0,86.7
-75.5,202.0,83.4
-75.5,206.0,80.4
-75.5,210.0,77.5
-75.5,214.0,76.9
-75.5,218.0,76.7
-75.5,222.0,62.7
-75.5,226.0,64.0
-75.5,230.0,60.6
-75.5,234.0,58.1
-75.5,238.0,56.6
-75.5,242.0,53.0
-75.5,246.0,61.900000000000006
-75.5,250.0,59.900000000000006
-75.5,254.0,54.5
-75.5,258.0,52.2
-75.5,262.0,60.400000000000006
-75.5,266.0,59.2
-75.5,270.0,58.2
-75.5,274.0,54.400000000000006
-75.5,278.0,52.2
-75.5,282.0,54.7
-75.5,286.0,46.900000000000006
-75.5,290.0,62.300000000000004
-75.5,294.0,54.400000000000006
-75.5,298.0,81.60000000000001
-75.5,302.0,83.60000000000001
-75.5,306.0,83.2
-75.5,310.0,77.0
-75.5,314.0,81.0
-75.5,318.0,78.4
-75.5,322.0,76.9
-75.5,326.0,79.60000000000001
-75.5,330.0,77.60000000000001
-75.5,334.0,82.0
-75.5,338.0,68.3
-75.5,342.0,49.300000000000004
-75.5,346.0,42.6
-75.5,350.0,32.6
-75.5,354.0,23.200000000000003
-75.5,358.0,18.1
-74.5,1.875,24.200000000000003
-74.5,5.625,19.5
-74.5,9.375,16.400000000000002
-74.5,13.125,16.0
-74.5,16.875,14.100000000000001
-74.5,20.625,15.700000000000001
-74.5,24.375,17.5
-74.5,28.125,15.700000000000001
-74.5,31.875,14.100000000000001
-74.5,35.625,13.200000000000001
-74.5,39.375,12.0
-74.5,43.125,10.8
-74.5,46.875,9.9
-74.5,50.625,14.700000000000001
-74.5,54.375,24.0
-74.5,58.125,30.8
-74.5,61.875,36.6
-74.5,65.625,46.2
-74.5,69.375,45.6
-74.5,73.125,37.4
-74.5,76.875,26.200000000000003
-74.5,80.625,16.900000000000002
-74.5,84.375,14.0
-74.5,88.125,10.700000000000001
-74.5,91.875,9.3
-74.5,95.625,8.5
-74.5,99.375,11.5
-74.5,103.125,13.200000000000001
-74.5,106.875,15.5
-74.5,110.625,16.7
-74.5,114.375,15.3
